,PostalCode,Venue,Category,City,Latitude,Longitude
71,M7A,Tokyo Grill,Japanese Restaurant,Toronto,43.665085238149395,-79.38470692554789
72,M7A,Coach House Restaurant,Diner,Toronto,43.66499059853204,-79.38481415727767
73,M7A,Como En Casa,Mexican Restaurant,Toronto,43.66516,-79.384796
74,M7A,401 Games,Hobby Shop,Toronto,43.663623277853254,-79.3840374323983
75,M7A,Crown Princess Fine Dining 伯爵名宴,Chinese Restaurant,Toronto,43.66645492941117,-79.38769789187712
76,M7A,Ethiopian House,Ethiopian Restaurant,Toronto,43.6665987043968,-79.38566906742606
77,M7A,Riddle Room,General Entertainment,Toronto,43.665881092438454,-79.38493615023397
78,M7A,Mercatto,Italian Restaurant,Toronto,43.660390911898546,-79.38766421192705
79,M7A,St. Louis Bar and Grill,Wings Joint,Toronto,43.66385323730235,-79.38418742909323
80,M7A,Curry's Art Store Ltd.,Arts & Crafts Store,Toronto,43.66283810530193,-79.38373201352064
81,M7A,Seduction,Adult Boutique,Toronto,43.66562020759618,-79.38468138721245
82,M7A,Mr. Tonkatsu,Japanese Restaurant,Toronto,43.66438157920901,-79.38440717744646
83,M7A,Coffee Public,Coffee Shop,Toronto,43.66076299149323,-79.38618409033066
84,M7A,Burrito Bandidos,Burrito Place,Toronto,43.662962178169344,-79.38395554190546
85,M7A,Isabel Bader Theatre,College Theater,Toronto,43.66732927030892,-79.39260350506324
86,M7A,Aroma Espresso Bar,Café,Toronto,43.66796263749082,-79.38887274197582
87,M7A,Hart House Theatre,Theater,Toronto,43.66357134217992,-79.3946163990837
88,M7A,LCBO,Liquor Store,Toronto,43.66442750513206,-79.38432654555464
89,M7A,Dal Moro's Fresh Pasta To Go,Italian Restaurant,Toronto,43.66664070494267,-79.38540023837237
90,M7A,Kothur Indian Cuisine,Indian Restaurant,Toronto,43.66787229558206,-79.38565911153148
91,M9A,TD Canada Trust,Bank,Etobicoke,43.6626585,-79.53186
92,M9A,Shoppers Drug Mart,Pharmacy,Toronto,43.66318130493164,-79.53173065185547
93,M9A,Humber Valley Park,Park,Toronto,43.66482484362267,-79.52499882000663
94,M9A,Humber Valley Rink,Skating Rink,,43.66482600084906,-79.5248725529118
95,M9A,Thorncrest Drug Store,Pharmacy,Toronto,43.66298764333833,-79.53181698355863
96,M9A,Foodland,Grocery Store,Toronto,43.663031504613876,-79.53192186442134
97,M1B,Canadian Appliance Source Whitby,Home Service,Whitby,43.808353360406464,-79.19133067131041
98,M3B,Elite Camps,Basketball Court,Toronto,43.745053,-79.354296
99,M3B,Elleffe Design,Furniture / Home Store,North York,43.745161548912925,-79.35368478298186
100,M3B,Shendy's Swim Centre,Pool,,43.745780550718784,-79.35335386163024
101,M3B,Rippleton Park,Park,North York,43.74087097344082,-79.35975873873495
102,M4B,Jawny Bakers,Gastropub,Toronto,43.705782646822,-79.31291304477831
103,M4B,East York Gymnastics,Gym / Fitness Center,East York,43.710654,-79.309279
104,M4B,Shoppers Drug Mart,Pharmacy,Toronto,43.705891688821325,-79.31241024393087
105,M4B,TD Canada Trust,Bank,East York,43.705739883755946,-79.31227013468737
106,M4B,Pizza Pizza,Pizza Place,East York,43.70515901620182,-79.31312955571528
107,M4B,Harvey's,Fast Food Restaurant,Toronto,43.71072995920288,-79.30883762217763
108,M4B,Rise & Dine Eatery,Breakfast Spot,Toronto,43.705769,-79.311638
109,M4B,East York Animal Clinic,Pet Store,Toronto,43.70592051370348,-79.3121958344716
110,M4B,St. Clair Ave E & O'Connor Dr,Intersection,Toronto,43.70523283448301,-79.31327432821826
111,M4B,Venice Pizza,Pizza Place,O'Connor - Parkview,43.70592051370348,-79.31395663414658
112,M4B,Harvey's,Fast Food Restaurant,Toronto,43.70813627814792,-79.3141045886623
113,M5B,Page One Cafe,Café,Toronto,43.65777161112601,-79.3760725691681
114,M5B,Blaze Pizza,Pizza Place,Toronto,43.656518,-79.380015
115,M5B,Burrito Boyz,Burrito Place,Toronto,43.656265264409015,-79.37834318376771
116,M5B,Hokkaido Ramen Santouka らーめん山頭火,Ramen Restaurant,Toronto,43.65643520293576,-79.37758637997793
117,M5B,UNIQLO ユニクロ,Clothing Store,Toronto,43.65591027779457,-79.38064099181345
118,M5B,Yonge-Dundas Square,Plaza,Toronto,43.65605389742188,-79.38049504264389
119,M5B,Silver Snail Comics,Comic Shop,Toronto,43.65703137958407,-79.38140310220501
120,M5B,The Senator Restaurant,Diner,Toronto,43.65564091455335,-79.37919882575557
121,M5B,Cineplex Cinemas Yonge-Dundas,Movie Theater,Toronto,43.65612555948613,-79.38039005666784
122,M5B,Ed Mirvish Theatre,Theater,Toronto,43.655101567321054,-79.37976762131545
123,M5B,Tacos 101,Taco Place,Toronto,43.656636132918166,-79.37696796225362
124,M5B,Jazz Bistro,Music Venue,Toronto,43.65567828473835,-79.37927565514764
125,M5B,DAVIDsTEA,Tea Room,Toronto,43.65658619027106,-79.38116704725516
126,M5B,Salad King,Thai Restaurant,Toronto,43.65760101432665,-79.38161963017174
127,M5B,Five Guys,Burger Joint,Toronto,43.65710635305761,-79.38130606340378
128,M5B,Balzac's Coffee,Café,Toronto,43.65785440672277,-79.37919981155157
129,M5B,The Grand Hotel & Suites Toronto,Hotel,Toronto,43.65644901207743,-79.3741100180102
130,M5B,The Black Canary Espresso Bar,Café,Toronto,43.65702925121356,-79.38138512728051
131,M5B,Urban Herbivore,Vegetarian / Vegan Restaurant,Toronto,43.65497185575342,-79.38085556030273
132,M5B,Ryerson Image Centre,Art Gallery,Toronto,43.65752337161094,-79.37945958709186
133,M5B,The 3 Brewers,Beer Bar,Toronto,43.655474284721,-79.38041324445061
134,M5B,Banh Mi Boys,Sandwich Place,Toronto,43.65918751861582,-79.3821314997463
135,M5B,Kinka Izakaya Original,Japanese Restaurant,Toronto,43.66059636632361,-79.37889120754515
136,M5B,Infuse Cafe,Coffee Shop,Toronto,43.658068043552504,-79.38172645275614
137,M5B,Chipotle Mexican Grill,Mexican Restaurant,Toronto,43.65648501759579,-79.38094490841218
138,M5B,Barberian's Steak House,Steakhouse,Toronto,43.65775512925926,-79.38217741375935
139,M5B,JOEY,American Restaurant,Toronto,43.6560936540828,-79.38187792357716
140,M5B,Nordstrom,Clothing Store,Toronto,43.655041,-79.3809665
141,M5B,Elgin And Winter Garden Theatres,Theater,Toronto,43.653393796019586,-79.3785073962175
142,M5B,Tim Hortons,Coffee Shop,Toronto,43.656755,-79.380512
143,M6B,Columbus Colombian Bakery (Panaderia Colombiana),Latin American Restaurant,Toronto,43.709172692546765,-79.45333079398473
144,M6B,Miyako Sushi Restaurant,Japanese Restaurant,Toronto,43.709111,-79.44393
145,M6B,Lady York Foods,Grocery Store,North York,43.709445370032775,-79.45297906087649
146,M6B,Dairy Queen,Fast Food Restaurant,Toronto,43.7100679,-79.4534411
147,M6B,Camarra's Pizzeria & Restaurant,Pizza Place,Toronto,43.708356257894906,-79.45339711779523
148,M6B,Enterprise Rent-A-Car,Rental Car Location,North York,43.70644,-79.45256
149,M6B,Darosa,Mediterranean Restaurant,Toronto,43.706995,-79.453122
150,M6B,CINQUElire,Italian Restaurant,Toronto,43.708497217747784,-79.45371253229237
151,M6B,City Fish Market,Fish Market,North York,43.709105,-79.45366
152,M9B,TD Canada Trust,Bank,Etobicoke,43.64892074538903,-79.54974755644798
153,M9B,Pizza Pizza,Pizza Place,Etobicoke,43.648754693274114,-79.54872638036836
154,M9B,Pizza Nova,Pizza Place,Toronto,43.649092,-79.549
155,M9B,My Daily Grind,Coffee Shop,Toronto,43.6501403,-79.54566030000001
156,M1C,Fox and Fiddle,Bar,Toronto,43.78908246798306,-79.15445917449385
157,M3C,Moccasin Trail Park,Park,Toronto,43.73129679204527,-79.33411541918686
158,M3C,Dallimore Cir Gym,Gym,Toronto,43.730705650693224,-79.3323164909998
159,M3C,don river,River,Toronto,43.732128830785406,-79.33713005877618
160,M3C,Empire Framing,Home Service,Toronto,43.73470099661642,-79.33746814727783
